previous_word,one_word,one_word_next,two_word,two_word_next,three_gram,three_word_next
"('\n', 0)","('how', 1)","('much', 1)","(('how', 'much'), None)","('more', 1)","(('how', 'much', 'more'), None)","('praise', 1)"
"('how', 1)","('much', 1)","('more', 1)","(('much', 'more'), None)","('praise', 1)","(('much', 'more', 'praise'), None)","('deserved', 2)"
"('much', 1)","('more', 1)","('praise', 1)","(('more', 'praise'), None)","('deserved', 2)","(('more', 'praise', 'deserved'), None)","('thy', 1)"
"('more', 1)","('praise', 1)","('deserved', 2)","(('praise', 'deserved'), None)","('thy', 1)","(('praise', 'deserved', 'thy'), None)","(""beauty's"", None)"
"('praise', 1)","('deserved', 2)","('thy', 1)","(('deserved', 'thy'), None)","(""beauty's"", None)","(('deserved', 'thy', ""beauty's""), None)","('use', 1)"
"('deserved', 2)","('thy', 1)","(""beauty's"", None)","(('thy', ""beauty's""), None)","('use', 1)","(('thy', ""beauty's"", 'use'), None)","(',', 0)"
"('thy', 1)","(""beauty's"", None)","('use', 1)","((""beauty's"", 'use'), None)","(',', 0)","((""beauty's"", 'use', ','), None)","('\n', 0)"
"(""beauty's"", None)","('use', 1)","(',', 0)","(('use', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('use', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('if', 1)","('thou', 1)","(('if', 'thou'), None)","('couldst', None)","(('if', 'thou', 'couldst'), None)","('answer', 2)"
"('if', 1)","('thou', 1)","('couldst', None)","(('thou', 'couldst'), None)","('answer', 2)","(('thou', 'couldst', 'answer'), None)","(""'this"", None)"
"('thou', 1)","('couldst', None)","('answer', 2)","(('couldst', 'answer'), None)","(""'this"", None)","(('couldst', 'answer', ""'this""), None)","('fair', 1)"
"('couldst', None)","('answer', 2)","(""'this"", None)","(('answer', ""'this""), None)","('fair', 1)","(('answer', ""'this"", 'fair'), None)","('child', 1)"
"('answer', 2)","(""'this"", None)","('fair', 1)","((""'this"", 'fair'), None)","('child', 1)","((""'this"", 'fair', 'child'), None)","('of', 1)"
"(""'this"", None)","('fair', 1)","('child', 1)","(('fair', 'child'), None)","('of', 1)","(('fair', 'child', 'of'), None)","('mine', 1)"
"('fair', 1)","('child', 1)","('of', 1)","(('child', 'of'), None)","('mine', 1)","(('child', 'of', 'mine'), None)","('\n', 0)"
"('child', 1)","('of', 1)","('mine', 1)","(('of', 'mine'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('of', 1)","('mine', 1)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('shall', 1)","('sum', 1)","(('shall', 'sum'), None)","('my', 1)","(('shall', 'sum', 'my'), None)","('count', 1)"
"('shall', 1)","('sum', 1)","('my', 1)","(('sum', 'my'), None)","('count', 1)","(('sum', 'my', 'count'), None)","('and', 1)"
"('sum', 1)","('my', 1)","('count', 1)","(('my', 'count'), None)","('and', 1)","(('my', 'count', 'and'), None)","('make', 1)"
"('my', 1)","('count', 1)","('and', 1)","(('count', 'and'), None)","('make', 1)","(('count', 'and', 'make'), None)","('my', 1)"
"('count', 1)","('and', 1)","('make', 1)","(('and', 'make'), None)","('my', 1)","(('and', 'make', 'my'), None)","('old', 1)"
"('and', 1)","('make', 1)","('my', 1)","(('make', 'my'), None)","('old', 1)","(('make', 'my', 'old'), None)","('excuse', 2)"
"('make', 1)","('my', 1)","('old', 1)","(('my', 'old'), None)","('excuse', 2)","(('my', 'old', 'excuse'), None)","(',', 0)"
"('my', 1)","('old', 1)","('excuse', 2)","(('old', 'excuse'), None)","(',', 0)","(('old', 'excuse', ','), None)","(""'"", None)"
"('old', 1)","('excuse', 2)","(',', 0)","(('excuse', ','), None)","(""'"", None)","(('excuse', ',', ""'""), None)","('\n', 0)"
"('excuse', 2)","(',', 0)","(""'"", None)","((',', ""'""), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"(',', 0)","(""'"", None)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('proving', 2)","('his', 1)","(('proving', 'his'), None)","('beauty', 2)","(('proving', 'his', 'beauty'), None)","('by', 1)"
"('proving', 2)","('his', 1)","('beauty', 2)","(('his', 'beauty'), None)","('by', 1)","(('his', 'beauty', 'by'), None)","('succession', 3)"
"('his', 1)","('beauty', 2)","('by', 1)","(('beauty', 'by'), None)","('succession', 3)","(('beauty', 'by', 'succession'), None)","('thine', 1)"
"('beauty', 2)","('by', 1)","('succession', 3)","(('by', 'succession'), None)","('thine', 1)","(('by', 'succession', 'thine'), None)","('!', 0)"
"('by', 1)","('succession', 3)","('thine', 1)","(('succession', 'thine'), None)","('!', 0)","(('succession', 'thine', '!'), None)","('\n', 0)"
"('succession', 3)","('thine', 1)","('!', 0)","(('thine', '!'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('thine', 1)","('!', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('this', 1)","('were', 1)","(('this', 'were'), None)","('to', 1)","(('this', 'were', 'to'), None)","('be', 1)"
"('this', 1)","('were', 1)","('to', 1)","(('were', 'to'), None)","('be', 1)","(('were', 'to', 'be'), None)","('new', 1)"
"('were', 1)","('to', 1)","('be', 1)","(('to', 'be'), None)","('new', 1)","(('to', 'be', 'new'), None)","('made', 1)"
"('to', 1)","('be', 1)","('new', 1)","(('be', 'new'), None)","('made', 1)","(('be', 'new', 'made'), None)","('when', 1)"
"('be', 1)","('new', 1)","('made', 1)","(('new', 'made'), None)","('when', 1)","(('new', 'made', 'when'), None)","('thou', 1)"
"('new', 1)","('made', 1)","('when', 1)","(('made', 'when'), None)","('thou', 1)","(('made', 'when', 'thou'), None)","('art', 1)"
"('made', 1)","('when', 1)","('thou', 1)","(('when', 'thou'), None)","('art', 1)","(('when', 'thou', 'art'), None)","('old', 1)"
"('when', 1)","('thou', 1)","('art', 1)","(('thou', 'art'), None)","('old', 1)","(('thou', 'art', 'old'), None)","(',', 0)"
"('thou', 1)","('art', 1)","('old', 1)","(('art', 'old'), None)","(',', 0)","(('art', 'old', ','), None)","('\n', 0)"
"('art', 1)","('old', 1)","(',', 0)","(('old', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('old', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('and', 1)","('see', 1)","(('and', 'see'), None)","('thy', 1)","(('and', 'see', 'thy'), None)","('blood', 1)"
"('and', 1)","('see', 1)","('thy', 1)","(('see', 'thy'), None)","('blood', 1)","(('see', 'thy', 'blood'), None)","('warm', 1)"
"('see', 1)","('thy', 1)","('blood', 1)","(('thy', 'blood'), None)","('warm', 1)","(('thy', 'blood', 'warm'), None)","('when', 1)"
"('thy', 1)","('blood', 1)","('warm', 1)","(('blood', 'warm'), None)","('when', 1)","(('blood', 'warm', 'when'), None)","('thou', 1)"
"('blood', 1)","('warm', 1)","('when', 1)","(('warm', 'when'), None)","('thou', 1)","(('warm', 'when', 'thou'), None)","(""feel'st"", None)"
"('warm', 1)","('when', 1)","('thou', 1)","(('when', 'thou'), None)","(""feel'st"", None)","(('when', 'thou', ""feel'st""), None)","('it', 1)"
"('when', 1)","('thou', 1)","(""feel'st"", None)","(('thou', ""feel'st""), None)","('it', 1)","(('thou', ""feel'st"", 'it'), None)","('cold', 1)"
"('thou', 1)","(""feel'st"", None)","('it', 1)","((""feel'st"", 'it'), None)","('cold', 1)","((""feel'st"", 'it', 'cold'), None)","('.', 0)"
"(""feel'st"", None)","('it', 1)","('cold', 1)","(('it', 'cold'), None)","('.', 0)","(('it', 'cold', '.'), None)","('\n', 0)"
"('it', 1)","('cold', 1)","('.', 0)","(('cold', '.'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('cold', 1)","('.', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('look', 1)","('in', 1)","(('look', 'in'), None)","('thy', 1)","(('look', 'in', 'thy'), None)","('glass', 1)"
"('look', 1)","('in', 1)","('thy', 1)","(('in', 'thy'), None)","('glass', 1)","(('in', 'thy', 'glass'), None)","(',', 0)"
"('in', 1)","('thy', 1)","('glass', 1)","(('thy', 'glass'), None)","(',', 0)","(('thy', 'glass', ','), None)","('and', 1)"
"('thy', 1)","('glass', 1)","(',', 0)","(('glass', ','), None)","('and', 1)","(('glass', ',', 'and'), None)","('tell', 1)"
"('glass', 1)","(',', 0)","('and', 1)","((',', 'and'), None)","('tell', 1)","((',', 'and', 'tell'), None)","('the', 1)"
"(',', 0)","('and', 1)","('tell', 1)","(('and', 'tell'), None)","('the', 1)","(('and', 'tell', 'the'), None)","('face', 1)"
"('and', 1)","('tell', 1)","('the', 1)","(('tell', 'the'), None)","('face', 1)","(('tell', 'the', 'face'), None)","('thou', 1)"
"('tell', 1)","('the', 1)","('face', 1)","(('the', 'face'), None)","('thou', 1)","(('the', 'face', 'thou'), None)","('viewest', None)"
"('the', 1)","('face', 1)","('thou', 1)","(('face', 'thou'), None)","('viewest', None)","(('face', 'thou', 'viewest'), None)","('\n', 0)"
"('face', 1)","('thou', 1)","('viewest', None)","(('thou', 'viewest'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('thou', 1)","('viewest', None)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('now', 1)","('is', 1)","(('now', 'is'), None)","('the', 1)","(('now', 'is', 'the'), None)","('time', 1)"
"('now', 1)","('is', 1)","('the', 1)","(('is', 'the'), None)","('time', 1)","(('is', 'the', 'time'), None)","('that', 1)"
"('is', 1)","('the', 1)","('time', 1)","(('the', 'time'), None)","('that', 1)","(('the', 'time', 'that'), None)","('face', 1)"
"('the', 1)","('time', 1)","('that', 1)","(('time', 'that'), None)","('face', 1)","(('time', 'that', 'face'), None)","('should', 1)"
"('time', 1)","('that', 1)","('face', 1)","(('that', 'face'), None)","('should', 1)","(('that', 'face', 'should'), None)","('form', 1)"
"('that', 1)","('face', 1)","('should', 1)","(('face', 'should'), None)","('form', 1)","(('face', 'should', 'form'), None)","('another', 3)"
"('face', 1)","('should', 1)","('form', 1)","(('should', 'form'), None)","('another', 3)","(('should', 'form', 'another'), None)","(';', 0)"
"('should', 1)","('form', 1)","('another', 3)","(('form', 'another'), None)","(';', 0)","(('form', 'another', ';'), None)","('\n', 0)"
"('form', 1)","('another', 3)","(';', 0)","(('another', ';'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('another', 3)","(';', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('whose', 1)","('fresh', 1)","(('whose', 'fresh'), None)","('repair', 2)","(('whose', 'fresh', 'repair'), None)","('if', 1)"
"('whose', 1)","('fresh', 1)","('repair', 2)","(('fresh', 'repair'), None)","('if', 1)","(('fresh', 'repair', 'if'), None)","('now', 1)"
"('fresh', 1)","('repair', 2)","('if', 1)","(('repair', 'if'), None)","('now', 1)","(('repair', 'if', 'now'), None)","('thou', 1)"
"('repair', 2)","('if', 1)","('now', 1)","(('if', 'now'), None)","('thou', 1)","(('if', 'now', 'thou'), None)","('not', 1)"
"('if', 1)","('now', 1)","('thou', 1)","(('now', 'thou'), None)","('not', 1)","(('now', 'thou', 'not'), None)","('renewest', None)"
"('now', 1)","('thou', 1)","('not', 1)","(('thou', 'not'), None)","('renewest', None)","(('thou', 'not', 'renewest'), None)","(',', 0)"
"('thou', 1)","('not', 1)","('renewest', None)","(('not', 'renewest'), None)","(',', 0)","(('not', 'renewest', ','), None)","('\n', 0)"
"('not', 1)","('renewest', None)","(',', 0)","(('renewest', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('renewest', None)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('thou', 1)","('dost', 1)","(('thou', 'dost'), None)","('beguile', 2)","(('thou', 'dost', 'beguile'), None)","('the', 1)"
"('thou', 1)","('dost', 1)","('beguile', 2)","(('dost', 'beguile'), None)","('the', 1)","(('dost', 'beguile', 'the'), None)","('world', 1)"
"('dost', 1)","('beguile', 2)","('the', 1)","(('beguile', 'the'), None)","('world', 1)","(('beguile', 'the', 'world'), None)","(',', 0)"
"('beguile', 2)","('the', 1)","('world', 1)","(('the', 'world'), None)","(',', 0)","(('the', 'world', ','), None)","('unbless', None)"
"('the', 1)","('world', 1)","(',', 0)","(('world', ','), None)","('unbless', None)","(('world', ',', 'unbless'), None)","('some', 1)"
"('world', 1)","(',', 0)","('unbless', None)","((',', 'unbless'), None)","('some', 1)","((',', 'unbless', 'some'), None)","('mother', 2)"
"(',', 0)","('unbless', None)","('some', 1)","(('unbless', 'some'), None)","('mother', 2)","(('unbless', 'some', 'mother'), None)","('.', 0)"
"('unbless', None)","('some', 1)","('mother', 2)","(('some', 'mother'), None)","('.', 0)","(('some', 'mother', '.'), None)","('\n', 0)"
"('some', 1)","('mother', 2)","('.', 0)","(('mother', '.'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('mother', 2)","('.', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('for', 1)","('where', 1)","(('for', 'where'), None)","('is', 1)","(('for', 'where', 'is'), None)","('she', 1)"
"('for', 1)","('where', 1)","('is', 1)","(('where', 'is'), None)","('she', 1)","(('where', 'is', 'she'), None)","('so', 1)"
"('where', 1)","('is', 1)","('she', 1)","(('is', 'she'), None)","('so', 1)","(('is', 'she', 'so'), None)","('fair', 1)"
"('is', 1)","('she', 1)","('so', 1)","(('she', 'so'), None)","('fair', 1)","(('she', 'so', 'fair'), None)","('whose', 1)"
"('she', 1)","('so', 1)","('fair', 1)","(('so', 'fair'), None)","('whose', 1)","(('so', 'fair', 'whose'), None)","(""unear'd"", None)"
"('so', 1)","('fair', 1)","('whose', 1)","(('fair', 'whose'), None)","(""unear'd"", None)","(('fair', 'whose', ""unear'd""), None)","('womb', 1)"
"('fair', 1)","('whose', 1)","(""unear'd"", None)","(('whose', ""unear'd""), None)","('womb', 1)","(('whose', ""unear'd"", 'womb'), None)","('\n', 0)"
"('whose', 1)","(""unear'd"", None)","('womb', 1)","((""unear'd"", 'womb'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"(""unear'd"", None)","('womb', 1)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('disdains', 2)","('the', 1)","(('disdains', 'the'), None)","('tillage', 2)","(('disdains', 'the', 'tillage'), None)","('of', 1)"
"('disdains', 2)","('the', 1)","('tillage', 2)","(('the', 'tillage'), None)","('of', 1)","(('the', 'tillage', 'of'), None)","('thy', 1)"
"('the', 1)","('tillage', 2)","('of', 1)","(('tillage', 'of'), None)","('thy', 1)","(('tillage', 'of', 'thy'), None)","('husbandry', 3)"
"('tillage', 2)","('of', 1)","('thy', 1)","(('of', 'thy'), None)","('husbandry', 3)","(('of', 'thy', 'husbandry'), None)","('?', None)"
"('of', 1)","('thy', 1)","('husbandry', 3)","(('thy', 'husbandry'), None)","('?', None)","(('thy', 'husbandry', '?'), None)","('\n', 0)"
"('thy', 1)","('husbandry', 3)","('?', None)","(('husbandry', '?'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('husbandry', 3)","('?', None)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('or', 1)","('who', 1)","(('or', 'who'), None)","('is', 1)","(('or', 'who', 'is'), None)","('he', 1)"
"('or', 1)","('who', 1)","('is', 1)","(('who', 'is'), None)","('he', 1)","(('who', 'is', 'he'), None)","('so', 1)"
"('who', 1)","('is', 1)","('he', 1)","(('is', 'he'), None)","('so', 1)","(('is', 'he', 'so'), None)","('fond', 1)"
"('is', 1)","('he', 1)","('so', 1)","(('he', 'so'), None)","('fond', 1)","(('he', 'so', 'fond'), None)","('will', 1)"
"('he', 1)","('so', 1)","('fond', 1)","(('so', 'fond'), None)","('will', 1)","(('so', 'fond', 'will'), None)","('be', 1)"
"('so', 1)","('fond', 1)","('will', 1)","(('fond', 'will'), None)","('be', 1)","(('fond', 'will', 'be'), None)","('the', 1)"
"('fond', 1)","('will', 1)","('be', 1)","(('will', 'be'), None)","('the', 1)","(('will', 'be', 'the'), None)","('tomb', 1)"
"('will', 1)","('be', 1)","('the', 1)","(('be', 'the'), None)","('tomb', 1)","(('be', 'the', 'tomb'), None)","('\n', 0)"
"('be', 1)","('the', 1)","('tomb', 1)","(('the', 'tomb'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('the', 1)","('tomb', 1)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('of', 1)","('his', 1)","(('of', 'his'), None)","('self', 1)","(('of', 'his', 'self'), None)","('-', 0)"
"('of', 1)","('his', 1)","('self', 1)","(('his', 'self'), None)","('-', 0)","(('his', 'self', '-'), None)","('love', 1)"
"('his', 1)","('self', 1)","('-', 0)","(('self', '-'), None)","('love', 1)","(('self', '-', 'love'), None)","(',', 0)"
"('self', 1)","('-', 0)","('love', 1)","(('-', 'love'), None)","(',', 0)","(('-', 'love', ','), None)","('to', 1)"
"('-', 0)","('love', 1)","(',', 0)","(('love', ','), None)","('to', 1)","(('love', ',', 'to'), None)","('stop', 1)"
"('love', 1)","(',', 0)","('to', 1)","((',', 'to'), None)","('stop', 1)","((',', 'to', 'stop'), None)","('posterity', 4)"
"(',', 0)","('to', 1)","('stop', 1)","(('to', 'stop'), None)","('posterity', 4)","(('to', 'stop', 'posterity'), None)","('?', None)"
"('to', 1)","('stop', 1)","('posterity', 4)","(('stop', 'posterity'), None)","('?', None)","(('stop', 'posterity', '?'), None)","('\n', 0)"
"('stop', 1)","('posterity', 4)","('?', None)","(('posterity', '?'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('posterity', 4)","('?', None)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('thou', 1)","('art', 1)","(('thou', 'art'), None)","('thy', 1)","(('thou', 'art', 'thy'), None)","(""mother's"", 2)"
"('thou', 1)","('art', 1)","('thy', 1)","(('art', 'thy'), None)","(""mother's"", 2)","(('art', 'thy', ""mother's""), None)","('glass', 1)"
"('art', 1)","('thy', 1)","(""mother's"", 2)","(('thy', ""mother's""), None)","('glass', 1)","(('thy', ""mother's"", 'glass'), None)","(',', 0)"
"('thy', 1)","(""mother's"", 2)","('glass', 1)","((""mother's"", 'glass'), None)","(',', 0)","((""mother's"", 'glass', ','), None)","('and', 1)"
"(""mother's"", 2)","('glass', 1)","(',', 0)","(('glass', ','), None)","('and', 1)","(('glass', ',', 'and'), None)","('she', 1)"
"('glass', 1)","(',', 0)","('and', 1)","((',', 'and'), None)","('she', 1)","((',', 'and', 'she'), None)","('in', 1)"
"(',', 0)","('and', 1)","('she', 1)","(('and', 'she'), None)","('in', 1)","(('and', 'she', 'in'), None)","('thee', 1)"
"('and', 1)","('she', 1)","('in', 1)","(('she', 'in'), None)","('thee', 1)","(('she', 'in', 'thee'), None)","('\n', 0)"
"('she', 1)","('in', 1)","('thee', 1)","(('in', 'thee'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('in', 1)","('thee', 1)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('calls', 1)","('back', 1)","(('calls', 'back'), None)","('the', 1)","(('calls', 'back', 'the'), None)","('lovely', 2)"
"('calls', 1)","('back', 1)","('the', 1)","(('back', 'the'), None)","('lovely', 2)","(('back', 'the', 'lovely'), None)","('april', 2)"
"('back', 1)","('the', 1)","('lovely', 2)","(('the', 'lovely'), None)","('april', 2)","(('the', 'lovely', 'april'), None)","('of', 1)"
"('the', 1)","('lovely', 2)","('april', 2)","(('lovely', 'april'), None)","('of', 1)","(('lovely', 'april', 'of'), None)","('her', 1)"
"('lovely', 2)","('april', 2)","('of', 1)","(('april', 'of'), None)","('her', 1)","(('april', 'of', 'her'), None)","('prime', 1)"
"('april', 2)","('of', 1)","('her', 1)","(('of', 'her'), None)","('prime', 1)","(('of', 'her', 'prime'), None)","(':', None)"
"('of', 1)","('her', 1)","('prime', 1)","(('her', 'prime'), None)","(':', None)","(('her', 'prime', ':'), None)","('\n', 0)"
"('her', 1)","('prime', 1)","(':', None)","(('prime', ':'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('prime', 1)","(':', None)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('so', 1)","('thou', 1)","(('so', 'thou'), None)","('through', 1)","(('so', 'thou', 'through'), None)","('windows', 2)"
"('so', 1)","('thou', 1)","('through', 1)","(('thou', 'through'), None)","('windows', 2)","(('thou', 'through', 'windows'), None)","('of', 1)"
"('thou', 1)","('through', 1)","('windows', 2)","(('through', 'windows'), None)","('of', 1)","(('through', 'windows', 'of'), None)","('thine', 1)"
